step,generated_token,generated_prob,male_prob,female_prob
1,male,0.31742629408836365,0.31742629408836365,0.6825737357139587
1,male,0.42250463366508484,0.42250463366508484,0.5774953961372375
1,male,0.5234203934669495,0.5234203934669495,0.4765796661376953
1,male,0.6477982401847839,0.6477982401847839,0.35220178961753845
1,female,0.31742629408836365,0.6825737357139587,0.31742629408836365
1,female,0.665410578250885,0.3345894515514374,0.665410578250885
1,male,0.42445170879364014,0.42445170879364014,0.4311358332633972
1,female,1.0,0.0,1.0
1,male,0.31742629408836365,0.31742629408836365,0.6825737357139587
1,female,0.18863651156425476,0.4120200276374817,0.39934349060058594
1,male,0.17781086266040802,0.17781086266040802,0.8221890926361084
1,female,0.8080672025680542,0.1919327974319458,0.8080672025680542
1,female,0.7025300860404968,0.29746994376182556,0.7025300860404968
1,female,0.851952850818634,0.0,0.851952850818634
1,male,0.29098084568977356,0.29098084568977356,0.709019124507904
1,male,0.6076632142066956,0.6076632142066956,0.3923368453979492
1,female,0.8031737804412842,0.19682620465755463,0.8031737804412842
1,female,1.0,0.0,1.0
1,female,1.0,0.0,1.0
1,male,0.7122321724891663,0.7122321724891663,0.28776782751083374
1,female,0.8633915781974792,0.0,0.8633915781974792
1,female,0.7122321724891663,0.28776782751083374,0.7122321724891663
1,male,0.5851011276245117,0.5851011276245117,0.4148988127708435
1,male,0.5195213556289673,0.5195213556289673,0.4804786741733551
1,female,0.6813488602638245,0.15932554006576538,0.6813488602638245
1,male,1.0,1.0,0.0
1,female,0.49218812584877014,0.5078118443489075,0.49218812584877014
1,female,0.8438951373100281,0.1561049073934555,0.8438951373100281
1,female,0.562176525592804,0.43782350420951843,0.562176525592804
1,female,0.7745833992958069,0.2254166156053543,0.7745833992958069
1,male,0.1755380630493164,0.1755380630493164,0.8244618773460388
1,female,1.0,0.0,1.0
1,male,0.30404165387153625,0.30404165387153625,0.6959583163261414
1,female,0.740174412727356,0.2598256468772888,0.740174412727356
1,male,0.4843800961971283,0.4843800961971283,0.5156199336051941
1,female,0.5389832258224487,0.46101680397987366,0.5389832258224487
1,female,0.7057850360870361,0.29421496391296387,0.7057850360870361
1,female,1.0,0.0,1.0
1,female,0.7981867790222168,0.2018132209777832,0.7981867790222168
1,male,0.6477982401847839,0.6477982401847839,0.35220178961753845
1,female,0.8397339582443237,0.0,0.8397339582443237
1,female,0.5389832258224487,0.46101680397987366,0.5389832258224487
