step,generated_token,generated_prob,male_prob,female_prob
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.6757646203041077,0.6757646203041077,0.32423537969589233
1,male,0.35220178961753845,0.35220178961753845,0.6477982401847839
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,female,1.0,0.0,1.0
1,female,1.0,0.0,1.0
1,male,1.0,1.0,0.0
1,male,0.5039061903953552,0.5039061903953552,0.49609383940696716
1,male,0.6477982401847839,0.6477982401847839,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.7956580519676208,0.7956580519676208,0.0
1,female,0.6334102749824524,0.36658975481987,0.6334102749824524
1,female,1.0,0.0,1.0
1,male,1.0,1.0,0.0
1,male,0.562176525592804,0.562176525592804,0.43782350420951843
1,female,1.0,0.0,1.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.7217432260513306,0.7217432260513306,0.0
1,male,0.8615382313728333,0.8615382313728333,0.13846179842948914
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.8006919622421265,0.8006919622421265,0.19930800795555115
1,male,1.0,1.0,0.0
1,male,0.5888891220092773,0.5888891220092773,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.8006919622421265,0.8006919622421265,0.0
1,male,0.5039061903953552,0.5039061903953552,0.49609383940696716
1,male,0.5467381477355957,0.5467381477355957,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.6076632142066956,0.6076632142066956,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,female,0.622459352016449,0.3775406777858734,0.622459352016449
1,male,0.360151082277298,0.360151082277298,0.0
1,female,0.6825737357139587,0.31742629408836365,0.6825737357139587
1,male,0.8633915781974792,0.8633915781974792,0.0
1,male,0.6477982401847839,0.6477982401847839,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.5544704794883728,0.5544704794883728,0.4455295503139496
1,female,1.0,0.0,1.0
1,female,1.0,0.0,1.0
1,female,1.0,0.0,1.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,female,1.0,0.0,1.0
1,male,1.0,1.0,0.0
1,male,0.7431679368019104,0.7431679368019104,0.0
1,female,0.2927006483078003,0.5554482340812683,0.2927006483078003
1,female,0.4383615255355835,0.2458985298871994,0.4383615255355835
1,female,1.0,0.0,1.0
1,female,1.0,0.0,1.0
1,male,1.0,1.0,0.0
1,female,1.0,0.0,1.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.6619228720664978,0.6619228720664978,0.3380771279335022
1,male,0.4882833957672119,0.4882833957672119,0.0
1,male,1.0,1.0,0.0
1,male,1.0,1.0,0.0
1,male,0.8558511734008789,0.8558511734008789,0.0
